Roasted Carrot
Coriander Pork
Pickled Honey
Coated Yak
Thermal-Cooked Sweet
Fresh Scallops
Oven-Grilled Salty
Sour Trout
Gentle-Fried Egg
Beans Sandwich
Grilled Mushroom
Apricot Tortilla
Strawberry Sundae
Cardamom Sundae
Almond Cake
Elderberry Cake
Blueberry Fudge
Grapefruit Jelly
Sate Padang
Nasi Ayam
Soto Ayam
Soto Sapi
Soto Lembu
Soto Kambing
Soto Domba
Kari Ayam
Kari Kambing
Kari Lembu
Kari Sapi
Kari Domba
Gulai Ayam
Gulai Sapi
Gulai Lembu
Gulai Kambing
Gulai Domba
Rendang Ayam
Rendang Sapi
Rendang Lembu
Rendang Kambing
Rendang Domba
